ant -f "C:\\Users\\Brendan Burns\\Documents\\GitHub\\MachineLearnGroup\\Clustering" -Dnb.internal.action.name=run run
init:
Deleting: C:\Users\Brendan Burns\Documents\GitHub\MachineLearnGroup\Clustering\build\built-jar.properties
deps-jar:
Updating property file: C:\Users\Brendan Burns\Documents\GitHub\MachineLearnGroup\Clustering\build\built-jar.properties
compile:
run:
Relation: data_banknote_authentication
File: banknote
Number examples: 1372
Number of attributes: 4 (Oops, it looked like 5 on UCI but they count the class)
Alg: DB_Scan
Length of dataFile 4
Minimum number of points 5
Cluster # 1 
4.8272 3.0687 0.68604 0.80731 
4.1373 0.49248 1.093 1.8276 
3.6289 0.81322 1.6277 0.77627 
4.0632 3.584 0.72545 0.39481 
0.94225 5.8561 1.8762 -0.32544 
0.5415 6.0319 1.6825 -0.46122 
-0.062025 6.1975 1.099 -1.131 
-0.39816 5.9781 1.3912 -1.1621 
-0.11996 6.8741 0.91995 -0.6694 
1.6349 3.286 2.8753 0.087054 
2.6606 3.1681 1.9619 0.18662 
4.2475 1.4816 -0.48355 0.95343 
4.0405 0.51524 1.0279 1.106 
1.4884 3.6274 3.308 0.48921 
3.5257 1.2829 1.9276 1.7991 
4.0329 0.23175 0.89082 1.1823 
0.38478 6.5989 -0.3336 -0.56466 
0.045304 6.7334 1.0708 -0.9332 
0.33565 6.8369 0.69718 -0.55691 
0.49665 5.527 1.7785 -0.47156 
1.762 4.3682 2.1384 0.75429 
3.6667 4.302 0.55923 0.33791 
0.1848 6.5079 2.0133 -0.87242 
2.0466 2.03 2.1761 -0.083634 
2.8969 0.70768 2.29 1.8663 
1.5902 2.2948 3.2403 0.18404 
1.6988 2.9094 2.9044 0.11033 
0.96441 5.8395 2.3235 0.066365 
3.2692 3.4184 0.20706 -0.066824 
3.9121 2.9735 0.92852 0.60558 
0.4339 5.5395 2.033 -0.40432 
1.6426 3.0149 0.22849 -0.147 
0.049175 6.1437 1.7828 -0.72113 
3.8584 0.78425 1.1033 1.7008 
1.2999 2.5762 2.0107 -0.18967 
2.6719 3.0646 0.37158 0.58619 
1.594 4.7055 1.3758 0.081882 
5.1129 -0.49871 0.62863 1.1189 
2.9499 2.2493 1.3458 -0.037083 
5.0429 -0.52974 0.50439 1.106 
0.64295 7.1018 0.3493 -0.41337 
4.0296 2.6756 0.80685 0.71679 
3.6277 0.9829 0.68861 0.63403 
3.3951 1.1484 2.1401 2.0862 
4.2772 2.4955 0.48554 0.36119 
4.4549 2.4976 1.0313 0.96894 
4.2027 0.22761 0.96108 0.97282 
3.1557 2.8908 0.59693 0.79825 
2.7296 2.8701 0.51124 0.5099 
2.9543 1.076 0.64577 0.89394 
5.2756 0.13863 0.12138 1.1435 
3.2718 1.7837 2.1161 0.61334 
3.0329 2.2948 2.1135 0.35084 
5.4944 1.5478 0.041694 1.9284 
4.9249 0.68906 0.77344 1.2095 
-0.023579 7.1742 0.78457 -0.75734 
3.4985 3.1639 0.22677 -0.1651 
0.96414 5.616 2.2138 -0.12501 
3.9994 0.90427 1.1693 1.6892 
5.0691 0.21313 0.20278 1.2095 
4.0972 0.46972 1.6671 0.91593 
4.3937 0.35798 2.0416 1.2004 
3.9294 1.4112 1.8076 0.89782 
3.4359 0.66216 2.1041 1.8922 
2.5227 2.2369 2.7236 0.79438 
3.744 0.79459 0.95851 1.0077 
4.9342 2.4107 -0.17594 1.6245 
3.8027 0.81529 2.1041 1.0245 
3.7791 2.5762 1.3098 0.5655 
3.8213 0.23175 2.0133 2.0564 
2.6799 3.1349 0.34073 0.58489 
2.0962 2.4769 1.9379 -0.040962 
1.1317 3.9647 3.3979 0.84351 
2.0153 1.8479 3.1375 0.42843 
0.88444 6.5906 0.55837 -0.44182 
2.1881 2.7356 1.3278 -0.1832 
1.7452 4.8028 2.0878 0.62627 
4.4072 -0.070365 2.0416 1.1319 
3.3299 0.91254 1.5806 0.39352 
3.9433 2.5017 1.5215 0.903 
3.9772 0.33521 2.2566 2.1625 
0.39559 6.8866 1.0588 -0.67587 
0.74841 7.2756 1.1504 -0.5388 
1.6406 3.5488 1.3964 -0.36424 
4.8077 2.2327 -0.26334 1.5534 
3.966 3.9213 0.70574 0.33662 
2.805 0.57732 1.3424 1.2133 
3.9719 1.0367 0.75973 1.0013 
5.0617 -0.35799 0.44698 0.99868 
0.87603 6.8141 0.84198 -0.17156 
4.7432 2.1086 0.1368 1.6543 
0.33111 4.5731 2.057 -0.18967 
0.86736 5.5643 1.6765 -0.16769 
4.9294 0.27727 0.20792 0.33662 
3.5438 1.2395 1.997 2.1547 
4.223 1.1319 0.72202 0.96118 
0.77805 6.6424 -1.1425 -1.0573 
4.1962 0.74493 0.83256 0.753 
2.5331 2.9135 -0.822 -0.12243 
0.24835 7.6439 0.9885 -0.87371 
3.5912 3.0129 0.72888 0.56421 
0.65497 5.1815 1.0673 -0.42113 
4.4682 2.2907 0.95766 0.83058 
3.3848 3.2674 0.90967 0.25128 
3.2414 0.40971 1.4015 1.1952 
4.2458 1.1981 0.66633 0.94696 
3.4465 2.9508 1.0271 0.5461 
3.6244 1.4609 1.3501 1.9284 
3.5251 0.7201 1.6928 0.64438 
1.3566 4.2358 2.1341 0.3211 
3.4663 1.1112 1.7425 1.3388 
3.5594 1.3078 1.291 1.6556 
4.1665 -0.4449 0.23448 0.27843 
